,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
175,54,2018,33597.87,NORTE DE SANTANDER,307526,93.58,91.62,106.28,3.95,90.55,5.5,1.41
176,54,2019,41710.97,NORTE DE SANTANDER,318252,92.25,92.18,106.49,3.25,90.56,6.19,1.37
177,54,2020,40083.7,NORTE DE SANTANDER,325981,90.24,90.16,98.32,3.94,88.82,7.24,5.51
178,54,2021,42565.149999999994,NORTE DE SANTANDER,328034,92.06,92.0,101.77,4.1,87.57,8.33,3.9
179,54,2022,42034.83,NORTE DE SANTANDER,328869,91.88,91.81,101.86,4.49,87.56,7.95,6.03
180,68,2011,595.0,SANTANDER,434034,92.49,92.4,103.43,3.68,94.25,2.07,2.92
181,68,2012,110.0,SANTANDER,425904,92.21,92.11,103.99,4.67,92.65,2.68,2.53
182,68,2013,77.0,SANTANDER,419596,93.4,93.28,106.44,3.6,92.98,3.41,2.04
183,68,2014,25.0,SANTANDER,413227,93.63,93.52,105.95,2.82,95.45,1.73,1.76
184,68,2015,20.66,SANTANDER,407815,94.5,94.37,105.97,3.17,91.93,4.9,1.62
185,68,2016,37.24,SANTANDER,402820,95.2,95.0,106.47,3.97,89.89,6.14,2.48
186,68,2017,29.990000000000002,SANTANDER,398621,96.5,96.33,107.72,2.67,91.27,6.07,2.41
187,68,2018,20.58,SANTANDER,401463,97.79,96.06,108.08,3.2,89.46,7.34,1.73
188,68,2019,2.3899999999999997,SANTANDER,405798,96.38,96.2,106.83,3.01,89.53,7.47,1.91
189,68,2020,3.12,SANTANDER,408876,95.97,95.83,105.54,1.85,91.04,7.1,6.26
190,68,2021,10.12,SANTANDER,409198,96.05,95.89,106.58,4.0,87.49,8.51,4.47
191,68,2022,15.3,SANTANDER,405521,96.67,96.49,107.07,4.93,87.49,7.58,6.43
192,76,2011,981.0,VALLE DEL CAUCA,906602,88.51,88.33,101.5,4.24,90.69,5.07,2.3
193,76,2012,482.0,VALLE DEL CAUCA,894698,88.26,88.09,101.86,4.32,92.39,3.29,1.64
194,76,2013,398.0,VALLE DEL CAUCA,887988,87.56,87.37,101.44,3.04,93.57,3.39,1.3
195,76,2014,561.0,VALLE DEL CAUCA,880625,85.52,85.34,98.4,2.16,95.6,2.24,0.82
196,76,2015,689.98,VALLE DEL CAUCA,875476,84.44,84.26,96.74,2.78,91.04,6.18,0.92
197,76,2016,751.9300000000001,VALLE DEL CAUCA,873706,81.4,81.23,93.81,4.34,88.72,6.94,1.29
198,76,2017,1261.3100000000002,VALLE DEL CAUCA,873860,80.4,80.21,91.94,3.71,89.59,6.7,1.45
199,76,2018,1270.56,VALLE DEL CAUCA,861316,79.27,80.36,91.87,3.26,89.22,7.52,1.1
200,76,2019,2329.0,VALLE DEL CAUCA,854243,81.68,81.46,92.62,3.92,88.84,7.25,1.17
201,76,2020,1937.86,VALLE DEL CAUCA,846957,82.18,81.96,92.14,2.73,90.41,6.86,5.72
202,76,2021,2589.6400000000003,VALLE DEL CAUCA,839566,81.86,81.67,92.14,4.53,87.16,8.31,4.76
203,76,2022,2638.92,VALLE DEL CAUCA,848047,79.71,79.5,89.32,5.51,86.48,8.01,6.33
204,81,2011,133.0,ARAUCA,73431,74.15,74.11,85.09,2.14,97.72,0.13,2.78
205,81,2012,82.0,ARAUCA,74454,72.33,72.29,83.67,4.99,94.99,0.03,3.83
206,81,2013,69.0,ARAUCA,74658,70.71,70.7,81.63,4.17,95.83,0.01,2.42
207,81,2014,26.0,ARAUCA,74948,71.55,71.51,81.48,5.59,94.4,0.01,2.04
208,81,2015,17.13,ARAUCA,75107,72.88,72.84,82.95,3.51,96.29,0.2,2.27
209,81,2016,8.91,ARAUCA,75185,74.0,73.95,85.37,3.72,96.28,0.0,3.44
210,81,2017,121.22,ARAUCA,75197,75.0,75.02,86.6,3.63,96.31,0.07,7.17
211,81,2018,7.44,ARAUCA,60962,77.02,94.93,112.21,2.63,97.29,0.08,4.46
212,81,2019,0.0,ARAUCA,64095,93.09,93.06,106.49,4.02,95.31,0.67,3.82
213,81,2020,0.0,ARAUCA,66580,92.84,92.81,105.96,3.93,85.52,10.55,3.9
214,81,2021,0.0,ARAUCA,67759,93.94,93.88,107.8,3.31,93.54,3.15,6.67
215,81,2022,0.0,ARAUCA,66682,92.7,92.67,105.14,6.98,88.53,4.49,6.81
216,86,2011,9952.0,PUTUMAYO,93828,80.46,80.46,93.62,4.18,95.61,0.21,3.37
217,86,2012,6148.0,PUTUMAYO,93570,78.17,78.17,93.12,6.16,89.6,4.24,1.03
218,86,2013,7667.0,PUTUMAYO,92887,76.96,76.96,89.83,5.68,88.53,5.79,0.98
219,86,2014,13609.0,PUTUMAYO,92368,77.72,77.71,90.13,4.33,94.59,1.08,1.04
220,86,2015,20067.63,PUTUMAYO,91874,76.71,76.7,88.74,5.26,89.23,5.51,0.85
221,86,2016,25162.41,PUTUMAYO,91441,76.1,76.09,87.8,7.53,86.13,6.34,2.56
222,86,2017,29588.97,PUTUMAYO,91161,75.2,75.24,88.54,5.74,88.12,6.14,2.65
223,86,2018,26407.56,PUTUMAYO,80972,75.0,84.28,96.55,5.21,86.88,7.9,2.15
224,86,2019,24972.91,PUTUMAYO,80890,84.83,84.83,96.73,5.39,85.7,8.91,1.89
225,86,2020,19986.18,PUTUMAYO,80810,84.42,84.41,95.21,7.42,86.8,5.78,6.81
226,86,2021,28205.21,PUTUMAYO,80699,84.59,84.57,96.22,10.28,82.3,7.42,4.87
227,86,2022,48034.43,PUTUMAYO,81190,81.83,81.81,91.02,6.54,86.37,7.09,5.76
228,91,2011,122.0,AMAZONAS,22223,82.34,82.32,94.53,5.46,91.16,3.38,5.15
229,91,2012,98.0,AMAZONAS,22194,81.87,81.87,94.76,4.7,93.74,1.56,6.3
230,91,2013,110.0,AMAZONAS,22123,81.84,81.83,95.41,3.29,95.78,0.93,4.32
231,91,2014,173.0,AMAZONAS,22167,82.13,82.11,95.65,3.04,96.93,0.03,3.9
