,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,Cobertura de acueducto,Cobertura de alcantarillado
240,81,ARAUCA,2010,247.0,47.775999999999996,52.04
241,81,ARAUCA,2011,133.0,51.052,40.108
242,81,ARAUCA,2012,82.0,35.208,28.48
243,81,ARAUCA,2013,25.0,48.9275,46.385
244,81,ARAUCA,2014,26.0,51.358000000000004,48.1
245,81,ARAUCA,2015,17.13,43.682,45.215999999999994
246,81,ARAUCA,2016,8.91,74.59,69.836
247,81,ARAUCA,2017,121.22,55.748000000000005,51.836
248,81,ARAUCA,2018,7.44,57.303999999999995,49.763999999999996
249,81,ARAUCA,2019,0.0,56.717999999999996,49.378
250,81,ARAUCA,2020,0.0,59.974000000000004,50.344
251,81,ARAUCA,2021,0.0,63.74399999999999,50.153999999999996
252,86,PUTUMAYO,2008,8883.0,40.2825,41.91625
253,86,PUTUMAYO,2009,4133.0,31.791428571428575,33.63857142857143
254,86,PUTUMAYO,2010,4544.0,35.43111111111111,29.27
255,86,PUTUMAYO,2011,8842.0,42.7275,37.16375
256,86,PUTUMAYO,2012,5460.0,33.17666666666666,27.904444444444444
257,86,PUTUMAYO,2013,7008.0,42.66555555555556,37.65555555555555
258,86,PUTUMAYO,2014,12515.0,42.91111111111111,31.596666666666668
259,86,PUTUMAYO,2015,20067.63,43.989999999999995,35.835
260,86,PUTUMAYO,2016,23170.03,44.45666666666667,38.33666666666667
261,86,PUTUMAYO,2017,29588.97,45.018,46.70399999999999
262,86,PUTUMAYO,2018,23289.4,49.49125,47.1475
263,86,PUTUMAYO,2019,24972.91,31.367,38.239
264,86,PUTUMAYO,2020,19986.18,34.385000000000005,40.144999999999996
265,86,PUTUMAYO,2021,28205.21,32.936,41.154
266,94,GUAINÍA,2008,187.0,19.26,14.26
267,94,GUAINÍA,2009,114.0,18.57,13.74
268,94,GUAINÍA,2010,147.0,18.76,13.89
269,94,GUAINÍA,2011,135.0,18.57,13.74
270,94,GUAINÍA,2012,105.0,16.6,11.63
271,94,GUAINÍA,2013,27.0,16.55,11.44
272,94,GUAINÍA,2014,19.0,17.42,12.4
273,94,GUAINÍA,2015,0.0,17.26,12.33
274,94,GUAINÍA,2016,0.0,17.14,12.19
275,94,GUAINÍA,2017,0.0,17.14,12.12
276,94,GUAINÍA,2018,0.0,16.8,11.88
277,94,GUAINÍA,2019,0.0,15.92,11.47
278,94,GUAINÍA,2021,0.0,0.0,0.0
279,95,GUAVIARE,2008,6629.0,28.4925,11.1475
280,95,GUAVIARE,2009,8324.0,28.357499999999998,10.885
