,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Hectáreas asperjadas
287,5,ANTIOQUIA,5893,YONDÓ,1995,0.0
288,5,ANTIOQUIA,5895,ZARAGOZA,1995,0.0
289,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,1995,0.0
290,13,BOLÍVAR,13042,ARENAL,1995,0.0
291,13,BOLÍVAR,13074,BARRANCO DE LOBA,1995,0.0
292,13,BOLÍVAR,13160,CANTAGALLO,1995,0.0
293,13,BOLÍVAR,13268,EL PEÑÓN,1995,0.0
294,13,BOLÍVAR,13442,MARÍA LA BAJA,1995,0.0
295,13,BOLÍVAR,13473,MORALES,1995,0.0
296,13,BOLÍVAR,13600,RÍO VIEJO,1995,0.0
297,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,1995,0.0
298,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,1995,0.0
299,13,BOLÍVAR,13670,SAN PABLO,1995,0.0
300,13,BOLÍVAR,13683,SANTA ROSA,1995,0.0
301,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,1995,0.0
302,13,BOLÍVAR,13744,SIMITÍ,1995,0.0
303,15,BOYACÁ,15480,MUZO,1995,0.0
304,15,BOYACÁ,15507,OTANCHE,1995,0.0
305,15,BOYACÁ,15531,PAUNA,1995,0.0
306,15,BOYACÁ,15572,PUERTO BOYACÁ,1995,0.0
307,17,CALDAS,17662,SAMANÁ,1995,0.0
308,17,CALDAS,17867,VICTORIA,1995,0.0
309,18,CAQUETÁ,18001,FLORENCIA,1995,0.0
310,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1995,0.0
311,19,CAUCA,19050,ARGELIA,1995,0.0
312,19,CAUCA,19075,BALBOA,1995,0.0
313,19,CAUCA,19100,BOLÍVAR,1995,0.0
314,19,CAUCA,19256,EL TAMBO,1995,0.0
315,19,CAUCA,19397,LA VEGA,1995,0.0
316,19,CAUCA,19450,MERCADERES,1995,0.0
317,19,CAUCA,19532,PATÍA,1995,0.0
318,19,CAUCA,19693,SAN SEBASTIÁN,1995,0.0
319,19,CAUCA,19701,SANTA ROSA,1995,0.0
320,19,CAUCA,19760,SOTARA,1995,0.0
321,23,CÓRDOBA,23068,AYAPEL,1995,0.0
322,23,CÓRDOBA,23417,LORICA,1995,0.0
323,23,CÓRDOBA,23466,MONTELÍBANO,1995,0.0
324,25,CUNDINAMARCA,25148,CAPARRAPÍ,1995,0.0
325,25,CUNDINAMARCA,25885,YACOPÍ,1995,0.0
326,27,CHOCÓ,27745,SIPÍ,1995,0.0
327,44,LA GUAJIRA,44001,RIOHACHA,1995,0.0
328,44,LA GUAJIRA,44090,DIBULLA,1995,0.0
329,47,MAGDALENA,47001,SANTA MARTA,1995,0.0
330,47,MAGDALENA,47189,CIÉNAGA,1995,0.0
331,50,META,50001,VILLAVICENCIO,1995,0.0
332,50,META,50287,FUENTE DE ORO,1995,0.0
333,50,META,50330,MESETAS,1995,0.0
334,50,META,50350,LA MACARENA,1995,0.0
335,50,META,50568,PUERTO GAITÁN,1995,0.0
336,50,META,50680,SAN CARLOS DE GUAROA,1995,0.0
337,52,NARIÑO,52001,PASTO,1995,0.0
338,52,NARIÑO,52079,BARBACOAS,1995,0.0
339,52,NARIÑO,52250,EL CHARCO,1995,0.0
340,52,NARIÑO,52256,EL ROSARIO,1995,0.0
341,52,NARIÑO,52356,IPIALES,1995,0.0
342,52,NARIÑO,52390,LA TOLA,1995,0.0
343,52,NARIÑO,52405,LEIVA,1995,0.0
344,52,NARIÑO,52427,MAGÜÍ,1995,0.0
345,52,NARIÑO,52490,OLAYA HERRERA,1995,0.0
346,52,NARIÑO,52520,FRANCISCO PIZARRO,1995,0.0
347,52,NARIÑO,52612,RICAURTE,1995,0.0
348,52,NARIÑO,52621,ROBERTO PAYÁN,1995,0.0
349,52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,1995,0.0
350,54,NORTE DE SANTANDER,54003,ÁBREGO,1995,0.0
351,54,NORTE DE SANTANDER,54250,EL TARRA,1995,0.0
352,54,NORTE DE SANTANDER,54261,EL ZULIA,1995,0.0
353,54,NORTE DE SANTANDER,54344,HACARÍ,1995,0.0
354,54,NORTE DE SANTANDER,54670,SAN CALIXTO,1995,0.0
355,54,NORTE DE SANTANDER,54720,SARDINATA,1995,0.0
356,54,NORTE DE SANTANDER,54800,TEORAMA,1995,0.0
357,54,NORTE DE SANTANDER,54810,TIBÚ,1995,0.0
358,68,SANTANDER,68081,BARRANCABERMEJA,1995,0.0
359,68,SANTANDER,68092,BETULIA,1995,0.0
360,68,SANTANDER,68101,BOLÍVAR,1995,0.0
361,68,SANTANDER,68190,CIMITARRA,1995,0.0
362,68,SANTANDER,68250,EL PEÑÓN,1995,0.0
363,68,SANTANDER,68271,FLORIÁN,1995,0.0
364,68,SANTANDER,68385,LANDÁZURI,1995,0.0
365,68,SANTANDER,68773,SUCRE,1995,0.0
366,76,VALLE DEL CAUCA,76563,PRADERA,1995,0.0
367,81,ARAUCA,81065,ARAUQUITA,1995,0.0
368,81,ARAUCA,81300,FORTUL,1995,0.0
369,81,ARAUCA,81591,PUERTO RONDÓN,1995,0.0
370,81,ARAUCA,81736,SARAVENA,1995,0.0
371,81,ARAUCA,81794,TAME,1995,0.0
372,86,PUTUMAYO,86001,MOCOA,1995,0.0
373,86,PUTUMAYO,86320,ORITO,1995,0.0
374,86,PUTUMAYO,86568,PUERTO ASÍS,1995,0.0
375,86,PUTUMAYO,86757,SAN MIGUEL,1995,0.0
376,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1995,0.0
