,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas erradicadas
227,5,ANTIOQUIA,5842,URAMITA,Territorio sin intervenir en los últimos 5 años,1998,0.0
228,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,Territorio con erradicacion intermitente,1998,0.0
229,5,ANTIOQUIA,5885,YALÍ,Territorio con erradicacion intermitente,1998,0.0
230,5,ANTIOQUIA,5887,YARUMAL,Territorio con erradicacion intermitente,1998,0.0
231,5,ANTIOQUIA,5890,YOLOMBÓ,Territorio con erradicacion intermitente,1998,0.0
232,8,ATLÁNTICO,8001,BARRANQUILLA,Territorio sin intervenir en los últimos 5 años,1998,0.0
233,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Territorio sin intervenir en los últimos 5 años,1998,0.0
234,13,BOLÍVAR,13268,EL PEÑÓN,Territorio sin intervenir en los últimos 5 años,1998,0.0
235,13,BOLÍVAR,13473,MORALES,Territorio con erradicacion intermitente,1998,0.0
236,13,BOLÍVAR,13490,NOROSÍ,Territorio con erradicacion intermitente,1998,0.0
237,13,BOLÍVAR,13580,REGIDOR,Territorio con erradicacion intermitente,1998,0.0
238,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Territorio con erradicacion intermitente,1998,0.0
239,15,BOYACÁ,15104,BOYACÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
240,15,BOYACÁ,15106,BRICEÑO,Territorio sin intervenir en los últimos 5 años,1998,0.0
241,15,BOYACÁ,15183,CHITA,Territorio sin intervenir en los últimos 5 años,1998,0.0
242,15,BOYACÁ,15212,COPER,Territorio sin intervenir en los últimos 5 años,1998,0.0
243,15,BOYACÁ,15218,COVARACHÍA,Territorio sin intervenir en los últimos 5 años,1998,0.0
244,15,BOYACÁ,15236,CHIVOR,Territorio sin intervenir en los últimos 5 años,1998,0.0
245,15,BOYACÁ,15276,FLORESTA,Territorio sin intervenir en los últimos 5 años,1998,0.0
246,15,BOYACÁ,15299,GARAGOA,Territorio sin intervenir en los últimos 5 años,1998,0.0
247,15,BOYACÁ,15401,LA VICTORIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
248,15,BOYACÁ,15425,MACANAL,Territorio sin intervenir en los últimos 5 años,1998,0.0
249,15,BOYACÁ,15491,NOBSA,Territorio sin intervenir en los últimos 5 años,1998,0.0
250,15,BOYACÁ,15514,PÁEZ,Territorio sin intervenir en los últimos 5 años,1998,0.0
251,15,BOYACÁ,15572,PUERTO BOYACÁ,Territorio con erradicacion intermitente,1998,0.0
252,15,BOYACÁ,15667,SAN LUIS DE GACENO,Territorio sin intervenir en los últimos 5 años,1998,0.0
253,15,BOYACÁ,15690,SANTA MARÍA,Territorio sin intervenir en los últimos 5 años,1998,0.0
254,15,BOYACÁ,15810,TIPACOQUE,Territorio sin intervenir en los últimos 5 años,1998,0.0
255,15,BOYACÁ,15842,ÚMBITA,Territorio sin intervenir en los últimos 5 años,1998,0.0
