,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Ingreso tributario
608,5,ANTIOQUIA,AMALFI,Cultivo permanente,2003,74.0,5796.82
609,5,ANTIOQUIA,ANORÍ,Cultivo permanente,2003,613.71,4109.81
610,5,ANTIOQUIA,APARTADÓ,Cultivo permanente,2003,0.0,20582.87
611,5,ANTIOQUIA,ARGELIA,Cultivo abandonado,2003,4.0,5166.98
612,5,ANTIOQUIA,BRICEÑO,Cultivo permanente,2003,20.0,3944.44
613,5,ANTIOQUIA,CÁCERES,Cultivo permanente,2003,537.0,15465.15
614,5,ANTIOQUIA,CAMPAMENTO,Cultivo permanente,2003,0.0,5211.94
615,5,ANTIOQUIA,CARACOLÍ,Cultivo abandonado,2003,0.0,2234.14
616,5,ANTIOQUIA,CAREPA,Cultivo abandonado,2003,0.0,10498.52
617,5,ANTIOQUIA,CARMEN DE VIBORAL,Cultivo abandonado,2003,0.0,7517.64
618,5,ANTIOQUIA,CAUCASIA,Cultivo intermintente,2003,27.0,17542.97
619,5,ANTIOQUIA,CHIGORODÓ,Cultivo intermintente,2003,0.0,11671.46
620,5,ANTIOQUIA,COCORNÁ,Cultivo abandonado,2003,0.0,5282.23
621,5,ANTIOQUIA,DABEIBA,Cultivo abandonado,2003,0.0,4585.78
622,5,ANTIOQUIA,EL BAGRE,Cultivo permanente,2003,524.0,11254.47
623,5,ANTIOQUIA,FRONTINO,Cultivo abandonado,2003,0.0,6914.1
624,5,ANTIOQUIA,GÓMEZ PLATA,Cultivo abandonado,2003,0.0,4107.36
625,5,ANTIOQUIA,ITUANGO,Cultivo permanente,2003,200.0,8639.4
626,5,ANTIOQUIA,MACEO,Cultivo abandonado,2003,0.0,5737.1
627,5,ANTIOQUIA,MURINDÓ,Cultivo intermintente,2003,0.0,1489.44
628,5,ANTIOQUIA,MUTATÁ,Cultivo intermintente,2003,0.0,5289.75
629,5,ANTIOQUIA,NARIÑO,Cultivo abandonado,2003,2.0,3872.28
630,5,ANTIOQUIA,NECHÍ,Cultivo permanente,2003,125.0,4991.49
